Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
regulatory_region	1	221	221	221	2005-02-24 14:37:36	2005-02-24 14:37:36	6	6	0	10	10	10	1	0	0	0	0		10	0	10
regulatory_region_object	1	221	221	221	2005-02-24 14:37:36	2005-02-24 14:37:36	6	6	0	3	3	3	1	0	0	0	0		10	0	10
regulatory_search_region	80	234	313	313	2005-11-04 13:31:18	2008-01-24 09:40:47	7	9	810	9	9	9	1	10	5	0.12	0.06	2	10	2	12
repeat	1	20	20	20	2000-01-20 09:22:27	2000-01-20 09:22:27	1	1	0	10	10	10	1	0	0	0	0		10	0	10
repeat_consensus	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	4	5	4.8	1.25	5	3	0.01	0.01	1.67	20	1	21
repeat_feature	506	21	-	526	2000-01-20 13:59:03	2017-01-30 14:35:11	1	18	6220	10	10	10	1	35	9	0.07	0.02	3.89	20	1	21
seq_region	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	4	4	4	1	1	1	0	0	1	20	1	21
seq_region_attrib	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	3	3	3	1	1	1	0	0	1	20	1	21
seq_region_mapping	206	321	-	526	2008-07-10 10:14:21	2017-01-30 14:35:11	9	18	3126	3	3	3	1	0	0	0	0		20	0	20
seq_region_synonym	152	375	-	526	2010-11-11 10:09:29	2017-01-30 14:35:11	12	18	2272	4	4	4	1	3	3	0.02	0.02	1	20	1	21
simple_feature	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	8	8	8.02	1	24	7	0.06	0.02	3.43	20	1	21
species	50	34	83	83	2000-04-19 15:13:34	2001-04-30 16:21:12	1	2	376	3	3	3	1	0	0	0	0		10	0	10
splicing_event	134	341	476	476	2009-05-06 13:35:09	2014-03-10 17:33:57	10	15	1769	8	8	8.01	1	7	3	0.05	0.02	2.33	10	1	11
splicing_event_feature	135	341	476	476	2009-05-06 13:35:09	2014-03-10 17:33:57	10	15	1769	9	9	9	1	0	0	0	0		10	0	10
splicing_transcript_pair	135	341	476	476	2009-05-06 13:35:09	2014-03-10 17:33:57	10	15	1769	4	4	4	1	0	0	0	0		10	0	10
stable_id_event	350	177	-	526	2003-04-30 16:24:33	2017-01-30 14:35:11	4	18	5023	3	7	6.73	2.33	7	5	0.02	0.01	1.4	20	1	21
static_golden_path	63	52	114	114	2000-09-04 23:35:09	2001-11-09 12:16:35	1	3	430	9	11	10.97	1.22	12	3	0.19	0.05	4	10	2	12
supporting_feature	527	0	-	526	1999-10-10 18:24:24	2017-01-30 14:35:11	0	18	6321	2	3	5.34	1.5	69	11	0.13	0.02	6.27	20	2	22
symmetric_contig_feature	29	55	83	83	2000-10-02 08:56:27	2001-04-30 16:21:12	1	2	210	6	8	7.45	1.33	3	1	0.1	0.03	3	10	1	11
symmetric_contig_pair_hit	29	55	83	83	2000-10-02 08:56:27	2001-04-30 16:21:12	1	2	210	4	5	4.97	1.25	1	1	0.03	0.03	1	10	1	11
transcript	527	0	-	526	1999-10-10 18:24:24	2017-01-30 14:35:11	0	18	6321	2	18	9.96	9	45	20	0.09	0.04	2.25	20	1	21
transcript_attrib	322	205	-	526	2004-05-11 13:29:35	2017-01-30 14:35:11	5	18	4647	3	3	3	1	1	1	0	0	1	20	1	21
transcript_intron_supporting_evidence	93	434	-	526	2012-06-01 10:59:43	2017-01-30 14:35:11	13	18	1704	4	4	4	1	0	0	0	0		20	0	20
transcript_stable_id	318	99	416	416	2001-07-26 20:07:11	2011-09-27 13:13:26	2	12	3714	3	5	4.29	1.67	5	4	0.02	0.01	1.25	10	1	11
transcript_supporting_feature	303	224	-	526	2005-04-05 18:43:08	2017-01-30 14:35:11	6	18	4317	3	3	3	1	2	1	0.01	0	2	20	1	21
transcriptdblink	46	38	83	83	2000-05-30 11:06:32	2001-04-30 16:21:12	1	2	335	3	3	3	1	0	0	0	0		10	0	10
translation	525	2	-	526	1999-10-25 16:08:39	2017-01-30 14:35:11	1	18	6306	6	10	6.66	1.67	20	5	0.04	0.01	4	20	1	21
translation_attrib	322	205	-	526	2004-05-11 13:29:35	2017-01-30 14:35:11	5	18	4647	3	3	3	1	1	1	0	0	1	20	1	21
translation_stable_id	318	99	416	416	2001-07-26 20:07:11	2011-09-27 13:13:26	2	12	3714	3	5	4.29	1.67	5	4	0.02	0.01	1.25	10	1	11
unconventional_transcript_association	185	279	463	463	2006-10-12 14:52:42	2013-08-27 14:43:40	8	14	2510	3	3	3	1	0	0	0	0		10	0	10
unmapped_object	280	247	-	526	2006-02-16 12:57:42	2017-01-30 14:35:11	7	18	4001	10	11	10.88	1.1	10	8	0.04	0.03	1.25	20	1	21
unmapped_reason	280	247	-	526	2006-02-16 12:57:42	2017-01-30 14:35:11	7	18	4001	3	3	3	1	1	1	0	0	1	20	1	21
xref	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	6	8	7.37	1.33	27	21	0.07	0.05	1.29	20	1	21
